,URL,#ASOrgs,ASOrgNames
0,moodle.colgate.edu,3,"['Colgate University', 'NYSERNet', 'TELEHOUSE International Corp. of America']"
1,colgate.edu,1,['Colgate University']
2,portal.colgate.edu,1,['Colgate University']
3,google.com,4,"['Colgate University', 'NYSERNet', 'Google LLC']"
4,instagram.com,3,"['Colgate University', 'NYSERNet', 'Facebook, Inc.']"
5,netflix.com,3,"['Colgate University', 'NYSERNet', 'TELEHOUSE International Corp. of America']"
6,amazon.com,4,"['Colgate University', 'NYSERNet', 'DE-CIX North America Inc.', 'Amazon Technologies Inc.']"
7,dineoncampus.com,4,"['Colgate University', 'NYSERNet', 'DE-CIX North America Inc.', 'Cloudflare, Inc.']"
8,gradescope.com,3,"['Colgate University', 'PSINet, Inc.', 'Amazon Technologies Inc.']"
9,gmail.com,3,"['Colgate University', 'NYSERNet', 'Google LLC']"
10,chat.openai.com,4,"['Colgate University', 'NYSERNet', 'TELEHOUSE International Corp. of America', 'Cloudflare, Inc.']"
11,youtube.com,3,"['Colgate University', 'NYSERNet', 'Google LLC']"
12,linkedin.com,3,"['Colgate University', 'NYSERNet', 'Microsoft Corporation']"
13,docs.google.com,3,"['Colgate University', 'NYSERNet', 'Google LLC']"
14,open.spotify.com,3,"['Colgate University', 'NYSERNet', 'DE-CIX North America Inc.']"
15,x.com,4,"['Colgate University', 'PSINet, Inc.', 'PCCW Global, Inc.', 'Twitter Inc.']"
16,buff163.com,3,"['Colgate University', 'PSINet, Inc.', 'Liquid Web, L.L.C']"
17,di.se,4,"['Colgate University', 'NYSERNet', 'Google LLC']"
18,docs.google.com,3,"['Colgate University', 'NYSERNet', 'Google LLC']"
19,www.notion.so,4,"['Colgate University', 'NYSERNet', 'TELEHOUSE International Corp. of America', 'Cloudflare, Inc.']"
20,github.com,3,"['Colgate University', 'NYSERNet', 'Equinix, Inc.']"
21,drive.google.com,3,"['Colgate University', 'NYSERNet', 'Google LLC']"
22,pandas.pydata.org,4,"['Colgate University', 'NYSERNet', 'TELEHOUSE International Corp. of America', 'Cloudflare, Inc.']"
